"block_number","training_grail - eval/pass@1","training_grail - eval/pass@1__MIN","training_grail - eval/pass@1__MAX","training_grail - _step","training_grail - _step__MIN","training_grail - _step__MAX"
"7142453","0.19160000000000063","0.19160000000000063","0.19160000000000063","31.5","22","41"
"7143060","0.5428000000000003","0.5428000000000003","0.5428000000000003","1697.5","1688","1707"
"7143663","0.5552000000000001","0.5552000000000001","0.5552000000000001","3487.5","3478","3497"
"7144266","0.5523999999999999","0.5523999999999999","0.5523999999999999","5224.5","5215","5234"
"7144863","0.5644000000000002","0.5644000000000002","0.5644000000000002","6947.5","6938","6957"
"7145461","0.5999999999999999","0.5999999999999999","0.5999999999999999","8630.5","8621","8640"
"7146063","0.6780000000000005","0.6780000000000005","0.6780000000000005","10320.5","10311","10330"
"7146667","0.6832000000000001","0.6832000000000001","0.6832000000000001","11951.5","11942","11961"
"7147260","0.6800000000000009","0.6800000000000009","0.6800000000000009","13501","13485","13517"
"7147867","0.6764000000000006","0.6764000000000006","0.6764000000000006","15092","15076","15108"
"7148462","0","0","0","16730.5","16721","16740"
"7149097","0.6484000000000003","0.6484000000000003","0.6484000000000003","18338.5","18329","18348"
"7149730","0.6580000000000005","0.6580000000000005","0.6580000000000005","20051.5","20042","20061"
"7150358","0.6459999999999999","0.6459999999999999","0.6459999999999999","21661","21645","21677"