"block_number","trainer_grail - _step","trainer_grail - _step__MIN","trainer_grail - _step__MAX","trainer_grail - eval/pass@5","trainer_grail - eval/pass@5__MIN","trainer_grail - eval/pass@5__MAX"
"6991713","20.5","11","30","0.102","0.102","0.102"
"6992340","1710.5","1701","1720","0.492","0.492","0.492"
"6992970","3585.5","3576","3595","0.582","0.582","0.582"
"6993600","5460.5","5451","5470","0.628","0.628","0.628"
"6994230","7243.5","7234","7253","0.628","0.628","0.628"
"6994860","9119.5","9110","9129","0.624","0.624","0.624"
"6995490","10994.5","10985","11004","0.638","0.638","0.638"
"6996120","12869.5","12860","12879","0.628","0.628","0.628"
"6996750","14745","14735","14755","0.622","0.622","0.622"
"6997380","16597.5","16588","16607","0.632","0.632","0.632"
"6998010","18439.5","18430","18449","0.622","0.622","0.622"
"6998640","20105","20095","20115","0.636","0.636","0.636"